brand,categories,features.value,manufacturer,name
Cedar's,"Baking,Food,Grocery","Fresh Steamed Chickpeas,Sesame Tahini,Water,Sunflower Il,Olive Oil,Roasted Garlic,Citric Acid,Salt,Gum Arabic,Spices,1/10 of 1% Sodium Benzoate,Potassium Sorbate (to Preserve Freshness),.",Cedar's,"Cedar's Smooth N' Creamy Roasted Garlic Hommus, 12 Oz"
Unbranded,"Baking,Food,grocery",Himalayan Pink Salt.,"LEEDS ENG., OLDE THOMPSON DIV",Spice Bottle Pink Himalayan Salt Fine Grind
Bonne Maman,"Baking,Food,Grocery","Damson Plum,Sugar,Cane Sugar,Concentrated Lemon Juice,Fruit Pectin.",American Marketing Team,Bonne Maman Plum Preserves
Tone's,"Baking,Food,Grocery","Chili Pepper and Other Spices,Salt,Garlic Powder and Red Pepper",Ach Food Companies,"Tone's: Powder Hot Chili, .75 Oz"
Morton,"Baking,Food,Grocery","Salt,Calcium Silicate (An Anti-Caking Agent)",Morton Salt,"Morton Table Salt, 4 Lbs."
McCormick,"Baking,Food,Grocery","Vanilla Bean Extractives In Water,Alcohol (35),and Corn Syrup. Value priced,Kosher",Mccormick,"Mccormick Pure Vanilla Extract, 8 Fl Oz"
Knorr,"Baking,Food,Grocery","Salt,Partially Hydrogenated Cottonseed Oil,Monosodium Glutamate,Corn Starch,Chicken Fat,Hydrolyzed Corn Protein,Sugar,Dried Chicken Meat,Onion Powder,Water,Garlic Powder,Turmeric,Caramel Color,Parsley,Spices,Citric Acid,Disodium Guanylate,Disodium Inosinate.",Unilever,Bouillon Chicken Reduced Sodium
ANDER PURE,"Baking,Food,Grocery",Apple Juice and Sugar.,ANDERSON'S MAPLE SYRUP INC,Syrup Apple
Jelly Belly,"Baking,Food,Grocery","Sugar,Corn Syrup,Modified Food Starch,Contains 2 or Less of the Following: Peach Puree Concentrate,Raspberry Puree,Strawberry Juice Concentrate,Apple Juice Concentrate,Cherry Juice Concentrate,Watermelon Juice Concentrate,Lime Juice Concentrate,Blueberry Puree,Lemon Puree,Orange Puree,Citric Acid,Fumaric Acid,Lactic Acid,Sodium Citrate,Sodium Lactate,Ascorbic Acid,Tapioca Dextrin,Chocolate Liquor,Cocoa Butter,Soy Lecithin (an Emulsifier),Cocoa Powder,Natural and Artificial Flavors,Color Added,Red 40 Lake,Red 40,Yellow 5 6 Lake,Yellow 5 6,Blue 1 2 Lake,Blue 1,Beeswax,Carnauba Wax,Confectioner's Glaze,Salt.",Jelly Belly,"Jelly Belly Jelly Beans, Kids Mix"
Tone's,"Baking,Food,Grocery",Garlic Minced,Ach Food Companies,"Tone's: Minced Garlic, .9 Oz"
Smucker's,"Baking,Food,Grocery","Water**,Boysenberries+,Polydextrose**,Maltodextrin**,Fruit Pectin,Locust Bean Gum**,Citric Acid,Natural Flavor**,Potassium Sorbate (Preservative),Sucralose (Non Nutritive Sweetener),**,Calcium Chloride**,Red 40*8,Blue 1**. **Ingredients Not In Regular Preserves. +Adds A Trivial Amount Of Sugar. <0.5G/Serving.",The J.M. Smucker Company,"Smucker&#39;s: Boysenberry Sugar Free Preserves, 12.75 Oz"
Olde Thompson,"Baking,Food,Grocery","Sea Salt,Spices (Black Pepper, Dill Seed, Coriander, Red Pepper),And Dehydrated Garlic.",Olde Thompson Inc,Steak and Burger Seasoning
Rokeach,"Baking,Food,Grocery","Water,Whitefish,Egg Whites,Sugar,Pike,Salt,Matzo Meal (Passover Wheat Flour and Water),Onion,Monosodium Glutamate,Xanthan Gum,Carob Seed Gum,Pepper,Natural Flavorings.",Rokeach,"Rokeach Whitefish-pike, Ready-jelled Broth"
Mexene,"Baking,Food,Grocery","Chili Pepper,Salt,Cumin,Oregano,Garlic,Silicon Dioxide.",Bruce Foods Inc.,"Mexene Original Chile Powder Seasoning, 2 Oz"
Erin Baker's,"Baking,Food,grocery","Whole Grain Oats,Honey,Expeller Pressed Canola Oil,Chocolate Chunks (Sugar, Chocolate Liquor, Anhydrous Dextrose, Cocoa Butter, Soy Lecithin, Vanilla Extract),Oat Bran,Molasses,Ground Flax Seed,Cocoa,Vanilla Extract,Sea Salt.",Erin Baker's,Erin Baker's Homestyle Granola
Yum Earth,"Baking,Food,Grocery","Organic Brown Rice Syrup,Organic Cane Sugar,Gelatin,Natural Flavors,Organic Fruit Juice (Apple and/or Pear, Black Carrot, Pomegranate),Citric Acid,Malic Acid,Ascorbic Acid,Organic Sunflower Oil,Organic Carnauba Wax.",YUMMY EARTH LLC,Yum Earth - Organic Gluten Free Gummy Worms - 4 Oz.
Streit's,"Baking,Food,Grocery","Potato Starch,Tapioca Dextrin,Salt,Partially Hydrogenated Cottonseed Oil,Cottonseed Oil,Spices,Turmeric,Natural and Artificial Flavor.",STREIT'S,"Streits Soup Base, Chicken Flavor"
Orale!,"Baking,Food,Grocery",Arbol Chili Pods.,Lisy Corp,Arbol Chili Pods
Orale!,"Baking,Food,Grocery",Ground Cumin.,Lisy Corp,"Orale Ground Cumin, 1.25 Oz"
Progresso,"Baking,Food,Grocery","Water,Beef Broth,Sea Salt,Yeast Extract,Sugar,Natural Flavor,Salt,Evaporated Cane Juice,Beef Tallow*,Spices,Onion Powder,Beef,Garlic Powder,Gelatin.*Adds a trivial amount of Fat.","General Mills, Inc.","Progresso 100% Natural Beef Flavored Broth, 32.0 Oz"
Spice Islands,"Baking,Food,Grocery","Rosemary Is An Evergreen Herb Native to The Mediterranean Region And Is A Nostalgic Herbal Symbol For Remembrace And Fidelity. Rosemary's Assertive Flavor Blends Well With Garlic to Season Lamb,Chicken And Pork. Use to Flavor Lighter Fish Dishes,Tomato Sauces And Roasted Garlic.",Tones Spices,Rosemary
Sarabeth's,"Baking,Food,Grocery","Strawberries,Sugar,Peaches,Dried Peaches (Contains Sulfur Dioxide to Promote Color Retention),Lemon Juice.",SBK PRESERVES INC,Fruit Sprd Strawberry Peach (pack of 6)
Badia,"Baking,Food,Grocery","Cinnamon Fragrant aroma and wonderful flavor*NEWLINE*,Used mainly for desserts,fruit preparations and beverages*NEWLINE*,Can also be use in meat stews,rice and vegetables*NEWLINE*,One of the oldest spices known*NEWLINE*,Gluten free",Badia Spices Inc.,Cinnamon Powder
Betty Crocker,"Baking,Food,Grocery","Sugar,Corn Syrup,Artificial Flavor,Gum Arabic,Confectioner's Glaze,Carnauba Wax,Red 40.",Signature Brands,Decor Hard Cinnamon Decorating Candy
Bellino,"Baking,Food,Grocery","Garlic Cloves,Water,Salt Lactic Acid.","Cento Fine Foods, Inc.",Garlic Cloves
Badia,"Baking,Food,Grocery",Pine Nuts.,Badia Spices,Pine Nuts
Fiordifrutta,"Baking,Food,Grocery","Raspberry*,Apple Juice*,Pectin.*From organic farming.",Rigoni Di Asiago,Fiordifrutta Raspberry Spread 8. 82 Oz -pack of 6
Orale!,"Baking,Food,Grocery",Guajillo Chili Pods.,Lisy Corp,"Orale Medium Hot Guajillo Family Pack Chili Pods, 12 Oz"
Goya Food,"Baking,Food,Grocery","Pork,Maltodextrin,Salt,Paprika,Water,Citric Acid,Spices,Sugar,Wine,Garlic,Extractives of Paprika,Sodium Erythorbate,Sodium Nitrite,Natural Smoke Flavor.","GOYA FOODS, INC.",Chorizo
Roland,"Baking,Food,Grocery","Mussels,Water,Vinegar,Sugar,Salt,Spices,Citric Acid. May Contain Shell Fragments.",American Roland Food Corp,"Roland Marinated Mussels, 7 Oz"
Mrs. Renfro's,"Baking,Food,Grocery,Sugars","Tomatoes,Water,Seedless Raspberry Puree,Brown Sugar,Green Chile Peppers,Sweet Green Peppers,Onions,Distilled Vinegar,Corn Starch,Salt,Jalapeno Peppers,Garlic,Chipotle Pepper,Spices,Cilantro,Ancho Chile Pepper.","Renfro Foods, Inc","Mrs. Renfro's Raspberry Chipotle Salsa Medium, 16.0 Oz"
Weber,"Baking,Food,Grocery,Sugars","Sea Salt,Garlic,Spices,Onion,Red Bell Pepper and Red Pepper. All natural.,Made with 100 sea salt.,Rub into beef or pork roasts or season mushrooms,bell peppers and potatoes,Gluten free.",Ach Food Companies Inc,New Weber Chicago Steak Seasoning Grilling 2.5oz ~ Free S/h
Jelly Belly,"Baking,Food,Pie Fillings,Grocery","Sugar,Corn Syrup,Modified Food Starch,Contains 2% or Less of the Following Apple Juice Concentrate,Grape Juice Concentrate,Lemon Puree,Cherry Juice Concentrate,Orange Puree,Citric Acid,Fumaric Acid,Sodium Citrate,Sodium Lactate,Natural and Artificial Flavors,Color Added,Red 40 Lake,Blue 1 & 2 Lake,Yellow 5 & 6 Lake,Beeswax,Carnauba Wax,Confectioner's Glaze.",Jelly Belly,"Jelly Belly Jelly Beans, Sours"
dickinson,"Baking,Food,Pie Fillings,grocery,Pudding","Fruit Syrup,Red Raspberries,Lemon Juice Concentrate,Fruit Pectin.","THE DICKINSON FAMILY, INC.","Dickinsons Spreadable Fruit, Red Raspberry"
McCormick,"Baking,General Grocery,Food,Baking Supplies",100% Organic Cinnamon,"McCormick & Co., Inc.","Mccormick Cinnamon Saigon Ground Organic, 1.5 Oz (pack of 3)"
Tone's,"Baking,Other Grocery,Food",Garlic Powder,Ach Food Companies,"Tone's: Powder Garlic, .9 Oz"
Streit's,"Bamboo Shoots,Food,Canned Vegetables,Grocery,Vegetables","Potatoes (Mono Diglycerides Sodium Acid Pyrophosphates),Potato Starch,Onions,Matzo Meal (Passover Wheat flour Water),Cottonseed Oil,Salt,Potassium Chloride.",Aaron Industries Inc.,Latkes Mix
Badia,"Barbecue Seasoning,Grocery & Gourmet Food,Olives, Pickles & Relishes,Pickles","Sea Salt,Yellow Prussiate of Soda. Does Not Supply Iodide. Pure,Distinctive flavor,Dissolves quickly upon contact with moisture,Harvested from the waters of the Pacific Ocean,Kosher",Badia Spices Inc.,"Badia Sea Salt Grinder, 4.25 Oz"
El Rio,"Barbecue,Food,Meal Solutions, Grains & Pasta,Condiments, Sauces & Spices,Sauces,Grocery & Gourmet Food,Sauces, Gravies & Marinades,Asian,Teriyaki Sauce,Grocery","Unbleached Wheat Flour,Salt,Dextrose,Minced Onion*,Natural Flavor (Flavor, Salt, Yeast Extract, and Maltodextrin),Ground Chili Peppers*,Onion Powder,Spices and Spice Extracts,Soybean Oil,Garlic Powder,Paprika Extract (for Color and Flavor),Paprika Extract (for Color and Flavor),Paprika,and Parsley*.*Dehydrated.","World Finer Foods, Inc.","El Rio All Natural Seasoning Mix Taco, 1.25 Oz"
LOVE GROWN,"Barbecue,Grocery & Gourmet Food,Sauces, Gravies & Marinades,Sauces","Certified Gluten-Free Oats,Evaporated Cane Juice,Almonds,Raisins (Raisin, Sunflower Oil),Canola Oil,Coconut,Sunflower Seeds,Vanilla,Flaxseed,Cinnamon,Sea Salt.",LOVE GROWN FOODS,"Love Grown Oat Clusters, Raisin Almond Crunch"
Sathers Candy,"Basmati,Food,Meal Solutions, Grains & Pasta,Grains & Rice,grocery","Corn Syrup,Sugar,Modified Food Starch (Corn),Artificial Flavor,Red 40.",Sathers Candy,Sathers Artificially Flavored Cherry Slices Candy #10103 4.85 Oz - 12 Ea
dickinson,"Basmati,Food,Meal Solutions, Grains & Pasta,Grains & Rice,Grocery,Grocery & Gourmet Food,Dried Beans, Grains & Rice","Fruit Syrup,Boysenberries,Water,Lemon Juice Concentrate,Fruit Pectin.","THE DICKINSON FAMILY, INC.","Dickinsons Spreadable Fruit, Boysenberry, Seedless"
Hodgson Mill,"Bay Leaf,Food,Grocery","100% Whole Grain Brown Rice Flour,Milled Golden Flax Seed.",Hodgson Mill Inc.,"Hodgson Mill Gluten Free Lasagna Brown Rice Pasta, 8 Oz"
Crown Prince,"Bay Leaf,Grocery & Gourmet Food,Herbs, Spices & Seasonings,Single Herbs & Spices,Food,Grocery","Crab Meat (Crustacean Shellfish),Water,Salt,Citric Acid (Ph Regulator),Monosodium Glutamate,Sodium Sulfite (Whitening Agent),.",Crown Prince,"Crown Prince Fancy White Crab Meat, 6 Oz"
S&B,"Bay Leaf,Grocery & Gourmet Food,Herbs, Spices & Seasonings,Single Herbs & Spices,grocery","Mustard,Turmeric.",S&B FOODS INC,"S&b Oriental Hot Mustard Powder, 3 Oz"
La Preferida,"Beans,Canned Ready to Eat Meals,Food,Grocery","Sardines,Tomato Sauce,Spices and Salt.",LA PREFERIDA INC,"La Preferida Sardines In Tomato Sauce, 15 Oz"
Emeril's,"Beans,Food,Snacks, Cookies & Chips,Chips,Grocery","Spices,Oregano,Basil,Rosemary,Parsley,Marjoram,Soybean Oil.",EMERIL,Emerils Essence Ital
La Preferida,"Beans,Grocery & Gourmet Food,Dried Beans, Grains & Rice,Food","Tomatoes (Organic),(Tomatoes (Organic), Tomato Juice (Organic), Citric Acid, Calcium Chloride),Tomato Puree (Organic),(Water, Tomato Paste (Organic)),Onions (Organic),Green Bell Peppers (Organic),Red Bell Peppers (Organic),Sea Salt,Jalapenos (Organic),Dried Cane Syrup (Organic),Vinegar (Organic),Cilantro (Organic),Spices (Organic),.",LA PREFERIDA INC,"La Preferida Salsa, Mild"
LOVE GROWN,"Beans,Grocery & Gourmet Food,Dried Beans, Grains & Rice,Food","Certified Gluten-Free Oats,Brown Sugar,Raspberries,Strawberries,Cinnamon.",LOVE GROWN FOODS,"Love Grown Oats, Hot, Strawberry Raspberry"
Vigo,"Beans,Grocery & Gourmet Food,Dried Beans, Grains & Rice,Grocery","Octopus,Soy and Olive Oil,Salt Added.",VIGO IMPORTING COMPANY INC,Vigo Octopus In Soy and Olive Oil
Spice Islands,"Beauty,Skin Care,Moisturizers,Grocery & Gourmet Food","Originally Discovered In The Fabled Spice Islands,We Now Travel To The West Indies To Bring You This Premium-Quality Aromatic Ground Nutmeg. We Carefully Select Superior Nutmeg Nuts To Dry And Grind For Use In This Convenient Shaker. Ground Nutmeg Is A Traditional Favorite In Home Baking And Is Especially Complementary In Sweet Breads,Cakes,Muffins,Cookies And Fruit Pies. Add To Creamy Soups,Pasta And Vegetable Sauces And Eggnog.",Spice Island,"Spice Islands: Ground Nutmeg Spice, 2.1 Oz"
Orale!,"Beef Soups,Food & Grocery,General Grocery,Soup, Ready to Heat,Soup, Condensed,Conventional Foods,Soup,Soups,Food",Whole Allspice.,Lisy Corp,"Orale Whole Allspice, 1 Oz"
Geisha,"Beef,Food,Meal Solutions, Grains & Pasta,Canned Goods & Soups,Soups,Grocery & Gourmet Food,Soups, Stocks & Broths,Bouillon,Grocery,Broths","Crab Meat,Water,Salt,Salt Sodium Acid Pyrophosphate (to Maintain Flavor And Firmness),Citric Acid,Calcium Disodium Edta (to Retain Color),Sodium Sulfite (Preservative),.","Jfe Shoji Trade America, Inc.",White Crab Meat
Snapple,"Beef,Grocery & Gourmet Food,Snack Foods,Jerky & Dried Meats,Food & Grocery,General Grocery,Jerky & Meat Snacks,Snacks","Filtered Water,Sugar,Citric Acid,Tea,Natural Flavors.",Snapple Beverage Corp,"Iced Tea, Lemon, 16 fl oz (473 ml)"
Dell'Alpe,"Beef,Grocery & Gourmet Food,Soups, Stocks & Broths,Bouillon","Peppers,Soybean Oil,Celery,Olives,Vinegar,Salt,Spices.",Dell' Alpe,Dell'alpe Hot Giardiniera - 16oz
Old Plantation,"Beer,Beverages,Food,Grocery","Salt, Red Pepper, Sage, Sugar and Black Pepper,Salt,Red Pepper,Sage,Sugar and Black Pepper",A.C. Legg,"A.C. Legg INC #10 Pork Sausage Seasoning, 8 oz"
Bakery On Main,"Beer,Beverages,Food,Grocery","Certified Gluten Free Oats, Cane Sugar, Flax Meal, Natural Flavors, Chia Seeds, Quinoa, Amaranth, Sea Salt,Certified Gluten Free Oats, Cane Sugar, Flax Meal, Freeze Dried Strawberries, Chia Seeds, Quinoa, Amaranth, Natural Flavors, Sea Salt.",,Bakery On Main Gluten-Free
Gourmet Paleo,"Beer,Beverages,Food,Grocery","Almonds,dates,chocolate chunks (Evaporated Cane Juice; Chocolate Liquor; Non-Dairy Cocoa Butter),pecans,unsweetened applesauce,organic coconut oil,molasses,maple syrup,vanilla extract,cinnamon,salt,baking soda.",,Paleo Chocolate Chip Cookies with Pecans - 12 Paleo Cookies | the Perfect Paleo Snack or Treat | Gluten Free
Goya Food,"Beer,Beverages,Food,Grocery","Guava Pulp,Refined Sugar,Citric Acid,FDC Red 3,FDC Red 40,Pectin.","GOYA FOODS, INC.",Guava Paste
Rold Gold,"Beer,Beverages,Food,Grocery","Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, and Folic Acid),Vegetable Oil (Contains Partially Hydrogenated Cottonseed and/or Soybean Oil),Salt,Corn Syrup,Yeast,Malt Extract,Sodium Bicarbonate,and Ammonium Bicarbonate.",Pepsi,"Pretzel Rods, 10 oz (283.5 g)"
Folgers,"Beer,Beverages,Food,Grocery",100 Pure Coffee.,Folgers,"Coffeehouse Series Coffee, Ground, Gourmet Supreme, Dark, 34.5 oz (2 lb 2.5 oz) (978 g)"
Cheez-it,"Beer,Beverages,Food,Grocery","Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate Vitamin B1, Riboflavin Vitamin B2, Folic Acid),Whole Grain Wheat Flour,Soybean Oil,Sugar,Partially Hydrogenated Cottonseed Oil,Leavening (Calcium Phosphate and/or Baking Soda),Salt,High Fructose Corn Syrup,Soy Lecithin.",Kraft,"Ritz Crackers, Whole Wheat, 14.20 oz"
Nabisco,"Beer,Beverages,Food,Grocery","Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate Vitamin B1, Riboflavin Vitamin B2, Folic Acid),Soybean Oil,Sugar,Partially Hydrogenated Cottonseed Oil,Salt,Leavening (Baking Soda and/or Calcium Phosphate),High Fructose Corn Syrup,Soy Lecithin,Malted Barley Flour,Natural Flavor.",Kraft,"Ritz Crackers, Original, 15.1 oz"
Folgers,"Beer,Beverages,Food,Grocery","Coffee, Artificial Flavor.,Coffee,Natural and Artificial Flavor.",J.M. Smucker,Folgers Toasted Hazelnut Flavored Ground Coffee
Sahale Snacks,"Beer,Beverages,Food,Grocery","Cashews,Dried Apples (Apples, Sugar, Natural Pomegranate Flavor, Citric Acid, Fruit Vegetable Juice (for Color)),Organic Evaporated Cane Juice,Organic Tapioca Syrup,Brown Sugar,Natural Vanilla Extract,Sea Salt,Dried Pomegranate Juice Concentrate,Dried Orange Peel,Pure Ground Vanilla Beans.",Sahale Snacks,Glazed Nuts - Cashews With Pomegranate And Vanilla - 1.5 Oz - Case Of 9
,"Beer,Beverages,Food,Grocery","Pistachios,Salt.",Paramount Farms,"Wonderful Pistachios Roasted & Salted Pistachios, 10 Oz"
,"Beer,Beverages,Food,Grocery",Basmati Rice.,BRUNO SCHEIDT INC,"Roland Basmati Rice, 35.27 Oz"
LesserEvil,"Beer,Beverages,Food,Grocery","White bean flour, rice blend (rice flour, brown rice), dehydrated potato, organic sunflower oil, chia powder, organic evaporated cane juice, organic red bell pepper powder, sea salt, organic tapioca solids, organic onion powder, organic tomato powder, organic garlic powder, natural flavor, organic spices, natural extractives of paprika, citric acid,White Bean Flour,Rice Blend (Rice Flour, Brown Rice),Dehydrated Potato,Organic Sunflower Oil,Tapioca Flour,Quinoa Flour,Lentil Flour,Chia Powder,Organic Evaporated Cane Juice,Organic Red Bell Pepper Powder,Sea Salt,Organic Tapioca Solids,Organic Onion Powder,Organic Tomato Powder,Organic Garlic Powder,Natural Flavor,Organic Spices,Natural Extractives of Paprika,Citric Acid.",LESSER EVIL BRAND SNACK CO,LesserEvil Super Bites
Sevigny's,"Beer,Beverages,Food,Grocery","Sugar,Corn Syrup,Natural And Artificial Flavors,Us Certified Colors Including Yellow 5,Yellow 6,Blue 1,Red 3 Red 40.",,"Sevigny's Thin Ribbon Candy, 9 Oz"
,"Beer,Beverages,Food,Grocery","Contains: Paprika,Cumin,Cayenne Pepper,Garlic,Parsley,Oregano and Black Pepper.",MORTON & BASSETT,Ssnng Chili Pwdr
,"Beer,Beverages,Food,Grocery","Sucrose,Corn Syrup,Artificial Flavor,Acacia (Gum Arabic),Confectioner's Glaze,Carnauba Wax*,Red 40,White Mineral Oil*. *Adds A Trivial Amount of Fat.",Ferrara,"Red Hots Cinnamon Flavored Candy, 6 Oz"
,"Beer,Beverages,Food,Grocery","For Pez Candy (Except Chocolate),: Sugar,Corn Syrup,Adipic Acid,Hydrog. Palm Kernel & Palm Oils and Soybean Oil,Mono & Diglycerides,Natural & Artificial Flavors,Artificial Colors FD&C Red 3,Yellow 5,Yellow 6,Blue 2,Cola also Contains Sodium Bicarb.,Color. For Pez Chocolate Flavored Candy: Sugar,Corn Syrup,Hydrog. Palm Kernel & Palm Oils and Soybean Oil,Mono & Diglycerides,Artificial Flavor,Color.",Pez,Pez Candy & Dispenser
Arizona,"Beets,Food,Canned Vegetables,Grocery","Water,High Fructose Corn Syrup,Natural Flavors,Citric Acid,Sodium Hexametaphosphate (to protect taste),Phosphoric Acid,Red Rooibos Tea Powder,Potassium Sorbate and Sodium Benzoate (to protect Taste),Sucralose,Calcium Disodium EDTA (to protect taste),Vitamin B6 (Pyridoxine Hydrochloride),Red 40,Vitamin B12 (Cyanocobalamin),.",The Coca-Cola Company,FUZE ICED TEA STRAWB2LT ERRY RED TEA-KO
Wheat Thins,"Berries,Grocery,Food","Whole Grain Wheat Flour,Soybean Oil,Sugar,Cornstarch,Malt Syrup (from Corn and Barley),Invert Sugar,Salt,Vegetable Color (Annatto Extract, Turmeric Oleoresin),. BHT Added to Packaging Material to Preserve Freshness.",Mondelez Global LLC,Hint of Salt Crackers 9.1 oz
,"Berries,Grocery,Fresh Fruits,Produce,Food,Fruit Snacks","Salt,Granulated Garlic,Tricalcium Phosphate (Prevents Caking),Oregano,Turmeric.",GOYA FOODS INC,Adobo Without Pepper
Artisana,"Beverages,Food,Canned Fruit,Juice,Grocery","Organic Raw Coconut (100),.",Artisana,Artisana Nut Bttr Ccnut Raw Sqz Pk Org 1.06 Oz (pack of 10)
Bear Creek,"Beverages,Food,Fruit Drinks,Juice,Grocery","Enriched Egg Noodles (Wheat Flour, Eggs, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Sugar,Soy Sauce (Wheat, Soybeans, Salt),Modified Corn Starch,Chow Mein Flavor (Citric Acid, Roasted Sesame Oil, Onions),Salt,Partially Hydrogenated Soybean Oil,Bell Peppers,Mushrooms,Monosodium Glutamate,Malic Acid,Tofu (Soybean, Calcium Sulfate),Vinegar,Caramel (Color),Spices.",B & G FOODS INC.,Bear Creek Soup Mix
Rokeach,"Beverages,Food,grocery","Water,Carp,Whitefish,Egg Whites,Sugar,Mullet,Matzo Meal (Passover Wheat Flour and Water),Onion,Salt,Pike,Monosodium Glutamate,Xanthan Gum,Carob Seed Gum,Pepper,Natural Flavorings.",Rokeach,Gefilte Fish
Pop-Tarts,"Beverages,Food,Grocery","Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Vitamin B1 [Thiamin Mononitrate] Vitamin B2 [Riboflavin], Folic Acid), Sugar, Soybean and Palm Oil (with TBHQ for Freshness), Corn Syrup, Dextrose, High Fructose Corn Syrup, Cracker Meal, Contains Two Percent or Less of Molasses, Salt, Calcium Carbonate, Leavening (Baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Cinnamon, Wheat Starch, Gelatin, Caramel Color, Soy Lecithin, Vitamin A Palmitate, Niacinamide, Reduced Iron, Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B2 (Riboflavin), Vitamin B1 (Thiamin Hydrochloride).",Pop-Tarts,Kellogg's174 Pop-Tarts174 Frosted Brown Sugar Cinnamon Pastries - 8ct
,"Beverages,Food,Grocery","Mustard Leaves,Onion,Ginger,Garlic,Chillies,Salt,Cornflour and Vegetable Oil.",Natco,Natco - Sarson Ka Saag - 800g
Alaska Smokehouse,"Beverages,Food,Grocery","Salmon,Salt,Spices,Natural Alder Smoke.",,Alaska Smokehouse Smoked Sockeye Fillet in Gift Box
